name,alt_name,name:nan-HJ,name:nan,name:nan-TL
士林官邸公園,士林官邸,士林公館公園,Sū-lîm Kong-koán Kong-hn̂g,Sū-lîm Kong-kuán Kong-hn̂g
國立中正大學,,,Kok-li̍p-tiong-tsìng-tāi-ha̍k,
太平國中,,,Thài-pîng-kok-tiong,
新生公園,花博公園新生園區,新生公園,Sin-seng Kong-hn̂g,Sin-sing Kong-hn̂g
國立高雄科技大學第一校區,,國立高雄科技大學第一校區,Kok-li̍p Ko-hiông Kho-ki Tāi-ha̍k Tē-it Hāu-khu,Kok-li̍p Ko-hiông Kho-ki Tāi-ha̍k Tē-it Hāu-khu
萬有一號公園,,萬有一號公園,Bān-iú 1-hō Kong-hn̂g,Bān-iú 1-hō Kong-hn̂g
新豐國小,,,Sin-hong-kok-sió,
龍門國小,,,Liông-bûn-kok-sió,
萬有三號公園,,萬有三號公園,Bān-iú 3-hō Kong-hn̂g,Bān-iú 3-hō Kong-hn̂g
坪林國小,,,Phîng-lîm-kok-sió,
光華高中,臺南市私立光華高級中學,,Kong-huâ-ko-tiong,
國立雲林科技大學,,國立雲林科技大學,Kok-li̍p Hûn-lîm Kho-ki Tāi-ha̍k,Kok-li̍p Hûn-lîm Kho-ki Tāi-ha̍k
大元國小,,大元國小,Tōa-goân Kok-sió,Tuā-guân Kok-sió
三峽國中,三峽國民中學,三峽國中,Sam-kiap Kok-tiong,Sam-kiap Kok-tiong
七美國中,,,Chhit-bí-kok-tiong,Tshit-bí-kok-tiong
七美國小,,,Chhit-bí-kok-sió,Tshit-bí-kok-sió
屏東女中,,屏東女中,Pîn-tong Lú-tiong,Pîn-tong Lú-tiong
光復國小,,,Kong-ho̍k-kok-sió,
臺中公園,,,Tâi-tiong-kong-hn̂g,
東光國小,,,Tang-kong-kok-sió,
辛亥生態公園,文木91號公園新建工程,,Sin-hāi-sing-thài-kong-hn̂g,
國立花蓮高中,,花蓮高中,Hoa-lian Ko-tiong,Hua-liân Ko-tiong
磅空頂綠地,,磅空頂綠地,Pōng-khang-téng Kong-hn̂g,Pōng-khang-tíng-kong-hn̂g
國立臺北大學,,,Kok-li̍p-tâi-pak-tāi-ha̍k,
景美運動公園,,景尾運動公園,Kéng-bé Ūn-tōng Kong-hn̂g,Kíng-bé-ūn-tōng-kong-hn̂g
雙湖國小,,,Siang-ô͘-kok-sió,Siang-ôo-kok-sió
望安國小,,,Bāng-an-kok-sió,Bāng-an-kok-sió
望安國中,,,Bāng-an-kok-sió,Bāng-an-kok-sió
將軍國小,,,Chiong-kun-kok-sió,Tsiong-kun-kok-sió
將澳國中,,,Chiong-ò͘-kok-tiong,Tsiong-òo-kok-tiong
澎南國中,,,Phînn-lâm-kok-tiong,
五德國小,,,Gōo-tik-kok-sió,
山水國小,,,Suann-tsuí-kok-sió,
蘆洲國中,,蘆洲國中,Lô͘-chiu Kok-tiong,Lôo-tsiu Kok-tiong
忠義國小,,忠義國小,Tiong-gī Kok-sió,Tiong-gī Kok-sió
成功國小,,成功國小,Sêng-kong Kok-sió,Sîng-kong Kok-sió
嘉南藥理大學,,嘉南藥理大學,Ka-lâm Io̍h-lí Ha̍k-īⁿ,Ka-lâm Io̍h-lí Ha̍k-īnn
福連國小,,福連國小,Hok-liân Kok-sió,Hok-liân Kok-sió
中角國小,,中角國小,Tiong-kak Kok-sió,Tiong-kak Kok-sió
花蓮高農,,花蓮高農,Hua-lian Ko-lông,
土城國小,,土城國小,Thó͘-siâⁿ Kok-sió,Thôo-siânn-kok-sió
