name,name:nan,name:nan-HJ,name:nan-TL
基隆路三段155巷,Ke-lâng-lō͘-3-tōaⁿ 155-hāng,基隆路三段155巷,Ke-lâng-lōo-3-tuānn 155-hāng
基隆路三段155巷150弄,Ke-lâng-lō͘-3-tōaⁿ 155-hāng 150-lōng,基隆路三段155巷150弄,Ke-lâng-lōo-3-tuānn 155-hāng 150-lōng
基隆路三段156巷,Ke-lâng-lō͘-3-tōaⁿ 156-hāng,基隆路三段156巷,Ke-lâng-lōo-3-tuānn 156-hāng
基隆路三段30巷,Ke-lâng-lō͘-3-tōaⁿ 30-hāng,基隆路三段30巷,Ke-lâng-lōo-3-tuānn 30-hāng
基隆路三段40巷,Ke-lâng-lō͘-3-tōaⁿ 40-hāng,基隆路三段40巷,Ke-lâng-lōo-3-tuānn 40-hāng
基隆路三段60巷,Ke-lâng-lō͘-3-tōaⁿ 60-hāng,基隆路三段60巷,Ke-lâng-lōo-3-tuānn 60-hāng
基隆路四段,Ke-lâng-lō͘-4-tōaⁿ,基隆路四段,Ke-lâng-lōo-4-tuānn
基隆路四段144巷50弄,Ke-lâng-lō͘-4-tōaⁿ 144-hāng 50-lōng,基隆路四段144巷50弄,Ke-lâng-lōo-4-tuānn 144-hāng 50-lōng
基隆路四段41巷,Ke-lâng-lō͘-4-tōaⁿ 41-hāng,基隆路四段41巷,Ke-lâng-lōo-4-tuānn 41-hāng
基隆路四段41巷68弄,Ke-lâng-lō͘-4-tōaⁿ 41-hāng 68-lōng,基隆路四段41巷68弄,Ke-lâng-lōo-4-tuānn 41-hāng 68-lōng
基隆路四段73巷,Ke-lâng-lō͘-4-tōaⁿ 73-hāng,基隆路四段73巷,Ke-lâng-lōo-4-tuānn 73-hāng
基隆路車行地下道,Ke-lâng-lō͘-chhia-hêng-tē-hā-tō,,Ke-lâng-lōo-tshia-hîng-tē-hā-tō
基隆路高架道路,Koe-lâng-lō͘ Ko-kè Tō-lō͘,,Kue-lâng-lōo Ko-kè Tō-lōo
基隆隧道,Ke-lâng-pōng-khang,,
堉琪橋,Io̍k-kî-kiô,,
婆婆橋,Pô-pô-kiô,,
崇實路,Chông-si̍t-lō͘,崇實路,Tsông-si̍t-lōo
崇德街,Chông-tek-koe,崇德街,Tsông-tik-kue
康定路,Khong-tēng-lō͘,康定路,Khong-tīng-lōo
彩虹橋,Chhái-khēng-kiô,,
望星橋,Bāng-chheⁿ-kiô,,
淡江大橋,Tām-kang Tōa-kiô,淡江大橋,Tām-kang Tuā-kiô
淡金公路,Tām-kim Kong-lō͘,淡金公路,Tām-kim Kong-lōo
淡金路一段,Tām-kim-lō͘ 1-tōaⁿ,淡金路一段,Tām-kim-lōo 1-tuānn
淡金路二段,Tām-kim-lō͘ 2-tōaⁿ,淡金路二段,Tām-kim-lōo 2-tuānn
